Informal+pure	Formal + pure	Informal + impure	Formal + impure
तुझे मेरी मदद चाहिये क्या ?	क्या आपको मेरी सहायता चाहिये?	तुझे मेरी हेल्प चाहिये क्या ?	क्या आपको मेरी हेल्प चाहिये?
क्या तेरा अकस्मात हो गया ?	क्या आपका अकस्मात हो गया था ?	क्या तेरा एक्सीडेंट हो गया ?	क्या आपका एक्सीडेंट हो गया था ?
उसने मुझे बोला की उधर प्राणवायु बहुत कम था | 	उन्होंने मुझे बोला की उधर प्राणवायु बहुत मर्यादित था |	उसने मुझे बोला की उधर ऑक्सीजन बहुत कम था | 	उन्होंने मुझे बोला की उधर ऑक्सीजन बहुत मर्यादित था |
इधर की व्यवस्था ठीक-ठाक है | 	यहाँ की व्यवस्था सामान्य है |	इधर की सिस्टम ठीक-ठाक है | 	यहाँ की सिस्टम सामान्य है |
अपन पद का फायदा नहीं उठा सकते | 	हम अपने पद का दुरुपयोग नहीं कर सकते | 	अपन पोजीशन का फायदा नहीं उठा सकते | 	हम अपने पोजीशन का दुरुपयोग नहीं कर सकते | 
तुजे आज भोजन में क्या खाना है ?	तुम आज भोजन में क्या खाना पसंद करोगे ?	तुजे आज लंच में क्या खाना है ?	तुम आज लंच में क्या खाना पसंद करोगे ?
तुजे घर ढूंढने में कोई दिक्कत नहीं हुई ना ?	आपको घर ढूंढने में कोई परेशानी तो नहीं हुई ना ?	तुजे घर ढूंढने में कोई प्रॉब्लम नहीं हुई ना ?	आपको घर ढूंढने में कोई इनकन्वेनैंस तो नहीं हुई ना ?
माफ़ करना, मुझे गलतफहमी हो गई थी।	मुझे क्षमा कीजिये, यह एक गलतफहमी थी | 	सॉरी, मुझे गलतफहमी हो गई थी।	आई ऍम वैरी सॉरी, यह एक गलतफहमी थी | 
वातावरण कैसा है देखना पड़ेगा पहले | 	पहले वातावरण की जाँच जरुरी है | 	वेअथेर कैसा है देखना पड़ेगा पहले | 	पहले वेअथेर की जाँच जरुरी है | 
जमाना बदल रहा है | 	दौर बदल रहा है | 	जमाना चेंज हो रहा है | 	दौर चेंज हो रहा है | 
तुम कोशीश जरुर करना |  	आप प्रयत्न अवश्य करना | 	तुम ट्राय जरुर करना |  	आप ट्राय अवश्य करना | 
तू जीवन बीमा योजना ले, अच्छा रहेगा | 	आप जीवन बीमा योजना का फायदा ले सकते हो |	तू जीवन इन्सुरन्स पालिसी ले, अच्छा रहेगा | 	आप जीवन इन्सुरन्स पालिसी का फायदा ले सकते हो |
तुम लोगो का मुखिया कौन है ?	आप लोगो का अध्यक्ष कौन है ?	तुम लोगो का बॉस कौन है ?	आप लोगो का लीडर कौन है ?
यहाँ कपास का धंधा जोर पर है | 	इस जगह पर कपास का कारोबार बड़े पैमाने पर चलता है | 	यहाँ कपास का बिज़नेस जोर पर है | 	इस जगह पर कपास का बिज़नेस बड़े पैमाने पर चलता है | 
हम धंधे की वजह से ही मिलते रहते है | 	हमारा रिश्ता व्यवसायिक ही है | 	हम बिज़नेस की वजह से ही मिलते रहते है | 	हमारा रिश्ता प्रोफेशनल ही है | 
उच्च न्यायालय में ये बोला था इस लिए करना पड़ेगा | 	उच्च न्यायालय का आदेश है इस लिए उसका पालन करना पड़ेगा | 	हाई कोर्ट में ये बोला था इस लिए करना पड़ेगा | 	हाई कोर्ट का आदेश है इस लिए उसका पालन करना पड़ेगा | 
ये सब सरकारी योजना कब अमल में आएगी ?	यह सभी सरकारी योजना कितने समय में कार्यान्वित होगी ?	ये सब गवर्नमेंट पालिसी कब एक्शन में आएगी ?	यह सभी गवर्नमेंट पालिसी कितने समय में इम्प्लीमेंट होगी ?
बच्चो ने विद्यालय में अभिनय करके सबको बहोत हसाया | 	छात्रों ने विद्यालय में अभिनय द्वारा सभी का मनोरंजन किया | 	बच्चो ने स्कूल में एक्टिंग करके सबको बहोत हसाया | 	छात्रों ने स्कूल में एक्टिंग द्वारा सभी का एंटरटेनमेंट किया | 
अभी घर में सब काम काज चल रहा है | 	अभी घर की मरम्मत हो रही है | 	अभी घर में सब काम काज चल रहा है | 	अभी घर का रिपेयरिंग हो रही है | 
मेरे दोस्त ने खुद का धंधा चालू किया | 	मेरे मित्र ने अपना कारोबार शुरू किया है।	मेरे फ्रेंड ने खुद का बिज़ चालू किया | 	मेरे मित्र ने अपना बिज़नेस शुरू किया है।
चल, देर मत कर यार | 	कृपया समय पर आइए।	चल, लेट मत कर यार | 	कृपया टाइम पर आइए।
ठीक है, तू बता क्या हो रहा है। 	ठीक है, कृपया आप बताएं कि क्या हो रहा है।	ओके, तू बता क्या हो रहा है। 	ओके, कृपया आप बताएं कि क्या हो रहा है।
अरे वाह, तूने बढ़िया काम किया!	वाह, आपने वाकई बहुत अच्छा काम किया है!	अरे वाह, तूने ग्रेट काम किया!	वॉव, आपने वाकई बहुत अच्छा काम किया है!
वो मेरी बात नहीं माना | 	वह मेरी बात से सम्मत नहीं है | 	वो मेरा ओपिनियन नहीं माना | 	वह मेरे ओपिनियन से सम्मत नहीं है | 
छोड़ो काम की बाते, में तो कल घूमने जा रहा हूँ | 	कृपया काम की बात मत कीजिए , में कल अवकाश पर जा रहा हूँ | 	छोड़ो काम की बाते, में तो कल ट्रिप पर जा रहा हूँ | 	प्लीज काम की बात मत कीजिए , में कल वेकेशन पर जा रहा हूँ | 
नास्ता मस्त है | 	आज का नास्ता बहोत स्वादिष्ट है |	ब्रेकफास्ट मस्त है | 	आज का ब्रेकफास्ट बहोत स्वादिष्ट है |
बाद में जाते है यार, अभी बहोत यातायात होगा |	बाद में जाते हैं, दोस्त। अभी बहुत यातायात होगा।	बाद में जाते है यार, अभी बहोत ट्रैफिक होगा |	बाद में जाते हैं, दोस्त। अभी बहुत ट्रैफिक होगा।
पापा कार्यालय में जरुरी काम करते है |	मेरे पापा कार्यालय में महत्वपूर्ण पद पर है | 	पापा ऑफिस में जरुरी काम करते है |	मेरे पापा ऑफिस में महत्वपूर्ण पोजीशन पर है | 
मुझे दाल-चावल बहोत मस्त लगता है | 	दाल-चावल मेरा पसंदीदा भोजन है |	मुझे दाल-राइस बहोत मस्त लगता है | 	दाल-राइस मेरा फवौरीते भोजन है |
चलो समय है तो किताब पढ़ी जाए |	आज समय है तो मैं पुस्तक पढूंगी |	चलो समय है तो बुक पढ़ी जाए |	आज समय है तो मैं बुक पढूंगी |
