Impure	Pure
ಅವನು ಕ್ಲಾಕ್ ಅನ್ನು ನೆಲದ ಮೇಲೆ ಇಟ್ಟನು.	ಅವನು ಗಡಿಯಾರವನ್ನು  ನೆಲದ ಮೇಲೆ ಇಟ್ಟನು 
ಅವನ ಹಲ್ಲಿನಲ್ಲಿ ತುಂಬಾ ಕ್ಯಾವಿಟಿ ಇತ್ತು 	ಅವನ ಹಲ್ಲಿನಲ್ಲಿ ತುಂಬಾ ಹುಳುಕವಿತ್ತು.
ಅವನು ಕಪ್ಪಿನಲ್ಲಿ ನೀರನ್ನು ಕುಡಿದ 	ಅವನು ಗಾಜಿನಲ್ಲಿ ನೀರನ್ನು ಕುಡಿದ 
ಮಕ್ಕಳು ಕ್ರಿಕೆಟ್  ಆಡುತ್ತಿದ್ದರು 	ಮಕ್ಕಳು ಚಿಣ್ಣಿ ದಾಂಡು ಆಡುತ್ತಿದ್ದರು 
ಯುವಕರು ಡ್ರೈವರ್ಗೆ ತೊಂದರೆ ಕೊಡುತಿದ್ದರು 	ಯುವಕರು ಚಾಲಕನಿಗೆ  ತೊಂದರೆ ಕೊಡುತಿದ್ದರು 
ಹುಡುಗರಿಗೆ ಪ್ಯಾಂಟ್ ಅಂದರೆ ಬಹಳ ಇಷ್ಟ 	ಹುಡುಗರಿಗೆ ಕಾಲ್ಗವಳು ಅಂದರೆ ಬಹಳ ಇಷ್ಟ 
ಸೂರ್ಯನ ಕಿರಣಗಳು ಬಹಳ ಪವರ್ಫುಲ್  ಆಗಿರುತ್ತದೆ 	ಸೂರ್ಯನ ಕಿರಣಗಳು ಬಹಳ ಶಕ್ತಿಶಾಲಿ ಆಗಿರುತ್ತದೆ 
ಗ್ಲಾಸ್ಸಿನ ಕಿಟಕಿ ಒಡೆದು ಹೋಯಿತು 	ಗಾಜಿನ ಕಿಟಕಿ ಒಡೆದುಹೋಯಿತು 
ಸ್ಮೋಕಿಂಗ್ ಆರೋಗ್ಯಕ್ಕೆ ಹಾನಿಕಾರಕ 	ಧೂಮಪಾನ ಆರೋಗ್ಯಕ್ಕೆ ಹಾನಿಕಾರಕ 
ಬುಕ್ಸ್ ಓದುವರು ತುಂಬಾ ಜಾಣರಿರಿರುತ್ತಾರೆ 	ಪುಸ್ತಕ ಓದುವರು ತುಂಬಾ ಜಾಣರಿರಿರುತ್ತಾರೆ 
ಮೊಬೈಲ್ ಅನ್ನು ತುಂಬಾ ಹೊತ್ತು ನೋಡುವವರಿಗೆ ಕಣ್ಣಿನ ತೊಂದರೆ ಬರಬಹುದು 	ಗಣಕಯಂತ್ರ ತುಂಬಾ ಹೊತ್ತು ನೋಡುವವರಿಗೆ ಕಣ್ಣಿನ ತೊಂದರೆ ಬರಬಹುದು 
ಅವನು ಹಾಸ್ಪಿಟಲ್  ಹೊಗ್ಗಿದನು 	ಅವನು ಆಸ್ಪತ್ರೆಗೆ ಹೊಗ್ಗಿದನು 
ಆ ವಾಹನ ಚಾಲಯಕ  ಒಬ್ಬ ದೊಡ್ಡ ಈಡಿಯಟ್ 	ಆ ವಾಹನ ಚಾಲಯಕ  ಒಬ್ಬ ದೊಡ್ಡ ದಡ್ಡ  
ಗಾಟ್ಟಿಯಲ್ಲಿ ಹೋಗಬೇಕಾದರೆ ತುಂಬಾ  ಇದ್ದವು 	ಗಾಟ್ಟಿಯಲ್ಲಿ ಹೋಗಬೇಕಾದರೆ ತುಂಬಾ ಮಂಗಗಳು ಇದ್ದವು 
ನಾನು ಹಾಗು ನನ್ನ ಸ್ನೇಹಿತರು ಪಾರ್ಕ್ಗೆ  ಹೋದೆವು 	ನಾನು ಹಾಗು ನನ್ನ ಸ್ನೇಹಿತರು ಉದ್ಯಾನನವನಕ್ಕೆ ಹೋದೆವು 
ಇಬ್ಬರು ಹುಡುಗೂರು ಒಬ್ಬ ಡ್ರೈವರ್ ಗೆ ಹೊಡಿಯುತ್ತಿದರು 	ಇಬ್ಬರು ಹುಡುಗೂರು ಒಬ್ಬ ಚಾಲಕನನ್ನು  ಹೊಡಿಯುತ್ತಿದರು 
ನಾನು ಮತ್ತೆ ನನ್ನ ಸ್ನೇಹಿತರು ಲೈಬ್ರರಿಗೆ  ಹೋಗಿದ್ದೆವು 	ನಾನು ಮತ್ತೆ ನನ್ನ ಸ್ನೇಹಿತರು ಗ್ರಂಥಾಲಯಕ್ಕೆ ಹೋಗಿದ್ದೆವು 
ನಾನು ಮತ್ತೆ ನನ್ನ ಫ್ಯಾಮಿಲಿ ಹೊರದೇಶಕ್ಕೆ ಹೋಗಿದ್ದೆವು 	ನಾನು ಮತ್ತೆ ನನ್ನ ಕುಟುಂಬ  ಹೊರದೇಶಕ್ಕೆ ಹೋಗಿದ್ದೆವು 
ನಾನು ಹೊಗ್ಗಿದ್ದ ಗ್ರಂಥಾಲಯದಲ್ಲಿ ಸೈಲೆನ್ಸ್  ಇರಲಿಲ್ಲ 	ನಾನು ಹೊಗ್ಗಿದ್ದ ಗ್ರಂಥಾಲಯದಲ್ಲಿ ನಿಶಬ್ದತೆ ಇರಲಿಲ್ಲ 
ನನ್ನ ಅಡ್ವೈಸರ್ ನಂಗೆ ಸೂಕ್ತ ಮಾಹಿತಿಯನ್ನು ನೀಡಿದರು 	ನನ್ನ ಸಲಹೆಗಾರ ನಂಗೆ ಸೂಕ್ತ ಮಾಹಿತಿಯನ್ನು ನೀಡಿದರು 
ಮೂರು ಜನ ಮಾಥ್ಸ್ ಬಗ್ಗೆ  ಮಾತನಾಡುತ್ತಿದ್ದರು 	ಮೂರು ಜನ ಗಣಿತದಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಿದ್ದರು 
ಈ ದೊಡ್ಡ ಮೂವಿ ಮೂರು ಹೌರ್ಸ್  ಇತ್ತು. 	ಈ ದೊಡ್ಡ ಮೂವಿ ಮೂರು ಗಂಟೆ ಇತ್ತು. 
ನನ್ನ ಗಡಿಯಾರದ ಬ್ಯಾಟರಿ ಚೇಂಜ್ ಮಾಡಲಿಲ್ಲ 	ನನ್ನ ಗಡಿಯಾರದ ಬ್ಯಾಟರಿ ಬದಲಾಯಿಸಲಿಲ್ಲ  
ನನ್ನ ನೇಮ್  ಒಂದು ಪುಸ್ತಕದಲ್ಲಿ ಇದೆ. 	ನನ್ನ ಹೆಸೆರು ಒಂದು ಪುಸ್ತಕದಲ್ಲಿ ಇದೆ. 
ಅವನು ಬಾಲ್ನಲ್ಲಿ  ಅವನ ಸ್ನೇಹಿತನಿಗೆ ಹೊಡೆದ 	ಅವನು ಚೆಂಡಿನಲ್ಲಿ ಅವನ ಸ್ನೇಹಿತನಿಗೆ ಹೊಡೆದ 
ಮಕ್ಕಳು ಟಾಯ್ಸ್  ನೋಡಿ ಖುಷಿಗೊಂಡರು 	ಮಕ್ಕಳು ಆಟಸಾಮಾನು ನೋಡಿ ಖುಷಿಗೊಂಡರು 
ಹಿರಿಯರು ಪ್ರೊಟೆಸ್ಟ್ ಮಾಡಿದರು 	ಹಿರಿಯರು ಪ್ರತಿಭಟನೆ  ಮಾಡಿದರು 
ನಾನು ಮತ್ತೆ ನನ್ನ ಅಣ್ಣ ಚಿಕ್ಕವರಿದ್ದಾಗ ಒಟ್ಟಿಗೆ ಓಧುತಿದ್ದೆವು   	ನಾನು ಮತ್ತೆ ನನ್ನ ಅಣ್ಣ ಚಿಕ್ಕವರಿದ್ದಾಗ ಒಟ್ಟಿಗೆ ಸ್ಟಡಿ ಮಾಡುತ್ತಿದ್ದೆವು    
ಚಿಕ್ಕವರಿದಾಗೆ ಎಲ್ಲರೂ ಡಾನ್ಸ್ ಮಾಡುತ್ತಿದ್ದರು  	ಚಿಕ್ಕವರಿದಾಗೆ ಎಲ್ಲರೂ ಕುಣಿಯುತ್ತಿದ್ದರು 
ನನ್ನ ಸ್ನೇಹಿತ ನಂಗೆ ಗಿಫ್ಟ್  ಕೊಟ್ಟನು 	ನನ್ನ ಸ್ನೇಹಿತ ನಂಗೆ ಉಡುಗೊರೆಯನ್ನು ಕೊಟ್ಟನು 
